label,p,indiv_median,two_median,Name
cooperative,0.0002463054187192118,483.590022951858,1347.62079510703,ets1_HepG2_seq261
fail_cutoff,1.0,243.92528233179797,479.554098360656,ets1_HepG2_seq264
cooperative,0.0002463054187192118,713.4485912728888,1230.44637681159,ets1_HepG2_seq266_0
independent,0.5258620689655172,260.01471861471896,274.936416184971,ets1_HepG2_seq266_1
independent,0.06748768472906402,25203.765286718368,25836.84,ets1_HepG2_seq268
independent,0.12660098522167484,747.011573815637,930.951871657754,ets1_HepG2_seq278
cooperative,0.0002463054187192118,1769.592550339006,2350.0,ets1_HepG2_seq296
cooperative,0.0002463054187192118,1209.508150966947,2934.97971014493,ets1_HepG2_seq306
fail_cutoff,1.0,122.96974518550901,156.091743119266,ets1_HepG2_seq307
independent,0.0251231527093596,6163.680471129764,10566.390390390401,ets1_HepG2_seq34
independent,0.5,4542.965129850123,4888.0,ets1_HepG2_seq346
cooperative,0.0002463054187192118,2374.831687693618,5208.59724950884,ets1_HepG2_seq35
independent,0.5773399014778324,179.3913095669214,207.183673469388,ets1_HepG2_seq350
cooperative,0.0002463054187192118,361.6801967586207,849.89349112426,ets1_HepG2_seq359
cooperative,0.0002463054187192118,645.328757588326,1367.92380952381,ets1_HepG2_seq36
cooperative,0.0002463054187192118,549.6895587021991,629.148514851485,ets1_HepG2_seq37
independent,0.8251231527093597,12551.894695135376,12224.488063660501,ets1_HepG2_seq378
independent,0.5258620689655172,3089.6637105549685,3086.2538071065997,ets1_HepG2_seq38
fail_cutoff,1.0,146.67457577513596,127.732057416268,ets1_HepG2_seq388
independent,0.013054187192118226,3070.719908574328,4014.709677419361,ets1_HepG2_seq400
independent,0.112807881773399,155.60378384930596,177.67032967033,ets1_HepG2_seq412
fail_cutoff,1.0,134.78332917809325,141.505376344086,ets1_HepG2_seq418
cooperative,0.0002463054187192118,213.41848744605048,731.8571428571429,ets1_HepG2_seq425
fail_cutoff,1.0,173.1635265837591,145.976470588235,ets1_HepG2_seq426
independent,0.29975369458128076,498.59223184223106,492.864864864865,ets1_HepG2_seq429
cooperative,0.0002463054187192118,332.432020941704,506.028818443804,ets1_HepG2_seq442
fail_cutoff,1.0,15852.008991158022,14751.0541871921,ets1_HepG2_seq458
cooperative,0.0002463054187192118,117.74208762096508,251.070967741935,ets1_HepG2_seq459
independent,0.04285714285714285,165.87033445856898,187.501326259947,ets1_HepG2_seq487
fail_cutoff,1.0,110.23004588470002,169.806451612903,ets1_HepG2_seq527
fail_cutoff,1.0,523.846770950513,663.222222222222,ets1_HepG2_seq55_0
fail_cutoff,1.0,120.68713369963369,95.7247706422018,ets1_HepG2_seq55_1
independent,0.254679802955665,670.365660753316,706.4242424242419,ets1_HepG2_seq56_0
cooperative,0.0002463054187192118,237.51572978433413,370.155440414508,ets1_HepG2_seq56_1
fail_cutoff,1.0,4697.595730317037,7576.345821325649,ets1_HepG2_seq578
independent,0.9899014778325124,26079.921250102456,18366.0831295844,ets1_HepG2_seq580
cooperative,0.0002463054187192118,117.21021118790497,179.913978494624,ets1_HepG2_seq581
independent,0.3233990147783251,3151.0412765908154,3393.0,ets1_HepG2_seq6
independent,0.7871921182266011,217.355287911406,206.491803278689,ets1_HepG2_seq616
fail_cutoff,1.0,134.981016927376,163.57062146892704,ets1_HepG2_seq64_0
fail_cutoff,1.0,196.52503351401822,137.89973614775698,ets1_HepG2_seq64_1
independent,0.8871921182266009,207.27119121374298,171.59102244389,ets1_HepG2_seq655
independent,0.3972906403940887,8820.025102920936,7339.05,ets1_HepG2_seq663
fail_cutoff,1.0,141.3742916063157,161.292479108635,ets1_HepG2_seq670
anticooperative,0.0002463054187192118,2786.730041101013,2554.65142857143,ets1_HepG2_seq671
cooperative,0.0002463054187192118,200.47802100925102,338.710743801653,ets1_HepG2_seq674
fail_cutoff,1.0,646.476013949698,683.799522673031,ets1_HepG2_seq682
cooperative,0.0002463054187192118,4835.945778406177,10040.6601941748,ets1_HepG2_seq684
fail_cutoff,1.0,119.837461126357,141.0,ets1_HepG2_seq73
independent,0.9118226600985222,558.2407182761369,370.806629834254,ets1_HepG2_seq74
cooperative,0.003940886699507389,2477.7169717370625,3679.91031390135,ets1_HepG2_seq75
cooperative,0.0002463054187192118,319.29083483332903,1512.8262910798098,ets1_HepG2_seq76
independent,0.013054187192118226,628.066201101459,932.28717948718,ets1_HepG2_seq8
cooperative,0.0002463054187192118,785.2244224292805,2080.96551724138,ets1_HepG2_seq87
fail_cutoff,1.0,156.84352314352404,145.177777777778,ets1_HepG2_seq91
independent,0.013054187192118226,1411.6607530503782,2185.7196261682197,ets1_HepG2_seq92
independent,0.013054187192118226,6671.836702290567,9973.54029850746,ets1_HepG2_seq99
independent,0.9869458128078819,10317.005555034058,7966.31688311688,ets1_k562_seq100
fail_cutoff,1.0,215.9556108741602,139.450549450549,ets1_k562_seq107
independent,0.8251231527093597,5706.816596902174,3950.6183844011102,ets1_k562_seq109
fail_cutoff,1.0,1492.9192133902675,1308.88648648649,ets1_k562_seq11
independent,0.9416256157635468,6792.504660579318,4663.44444444444,ets1_k562_seq113
cooperative,0.0002463054187192118,177.48232792558997,271.676300578035,ets1_k562_seq114
cooperative,0.0002463054187192118,227.81299915212503,1091.50588235294,ets1_k562_seq120
fail_cutoff,1.0,112.48236422731628,109.0,ets1_k562_seq121
cooperative,0.0002463054187192118,2791.472736936033,5684.0,ets1_k562_seq127_0
cooperative,0.0002463054187192118,199.958224238436,799.1227154047,ets1_k562_seq127_1
anticooperative,0.0002463054187192118,56360.715222761755,49172.962779156296,ets1_k562_seq128
independent,0.17487684729064037,31736.829870390393,38231.1868852459,ets1_k562_seq13
cooperative,0.0002463054187192118,36769.24288658793,50862.5454545455,ets1_k562_seq131
fail_cutoff,1.0,152.993015873015,144.870588235294,ets1_k562_seq138
independent,0.19334975369458127,2118.1247409082353,2545.14929577465,ets1_k562_seq139
independent,0.17487684729064037,643.718060775543,707.277533039648,ets1_k562_seq141_0
fail_cutoff,1.0,21441.455048741464,22296.4959568733,ets1_k562_seq141_1
cooperative,0.0002463054187192118,2460.5439636261244,7031.5307917888595,ets1_k562_seq142_0
independent,0.3972906403940887,25149.922522151246,20110.4047619048,ets1_k562_seq142_1
cooperative,0.0002463054187192118,293.09722222222206,539.520833333333,ets1_k562_seq143_0
cooperative,0.0002463054187192118,354.406431919636,1018.4228571428599,ets1_k562_seq143_1
cooperative,0.0002463054187192118,1275.4023319949545,2007.57142857143,ets1_k562_seq145
independent,0.8583743842364533,1675.3303889500235,1556.1618497109805,ets1_k562_seq147
independent,0.8251231527093597,10521.345144875095,8205.899543379,ets1_k562_seq15
cooperative,0.00270935960591133,132.51694537346702,188.0,ets1_k562_seq150
cooperative,0.0002463054187192118,202.96131704986502,352.45093945720197,ets1_k562_seq151
cooperative,0.0002463054187192118,7546.772686357212,12064.4816753927,ets1_k562_seq152_0
fail_cutoff,1.0,147.75638087871062,169.377358490566,ets1_k562_seq152_1
independent,0.06748768472906402,798.7569144206961,1056.53801169591,ets1_k562_seq154
cooperative,0.0002463054187192118,251.43666540215494,422.58407079646,ets1_k562_seq155
independent,0.06748768472906402,876.1300356623958,1158.83371298405,ets1_k562_seq156
cooperative,0.0002463054187192118,3799.6500829187407,7041.775,ets1_k562_seq159
cooperative,0.0002463054187192118,1530.3525486023777,3146.0790960452,ets1_k562_seq161_0
cooperative,0.0002463054187192118,1405.343851291258,2742.0725388601,ets1_k562_seq161_1
independent,0.0773399014778325,2476.5206976220607,2819.0505050505,ets1_k562_seq164
fail_cutoff,1.0,2430.996353038907,1690.96132596685,ets1_k562_seq165
independent,0.0773399014778325,356.816121119459,433.3894736842109,ets1_k562_seq166
cooperative,0.0002463054187192118,251.72252771037196,580.444444444444,ets1_k562_seq167
cooperative,0.0002463054187192118,4050.6785249506033,5232.516746411479,ets1_k562_seq170
independent,0.0502463054187192,3362.1782772893425,4008.9307479224403,ets1_k562_seq171
independent,0.010098522167487684,136.59741131351882,180.769230769231,ets1_k562_seq173
independent,0.06748768472906402,146.87703875072333,173.617486338798,ets1_k562_seq174
fail_cutoff,1.0,1906.2976190476218,3136.1818181818207,ets1_k562_seq179_0
cooperative,0.0002463054187192118,343.66592792082093,706.021739130435,ets1_k562_seq179_1
cooperative,0.0002463054187192118,1884.7261488733452,4190.64039408867,ets1_k562_seq180
fail_cutoff,1.0,668.292241105184,573.780346820809,ets1_k562_seq186
independent,0.036206896551724134,112.17353437339371,174.883720930233,ets1_k562_seq187
independent,0.9697044334975369,511.1310894607009,437.58620689655197,ets1_k562_seq188
fail_cutoff,1.0,4407.595550181916,8360.58638743456,ets1_k562_seq190_0
independent,0.17487684729064037,8273.344339867022,10360.0236686391,ets1_k562_seq190_1
independent,0.6524630541871921,3502.774548469402,3310.76744186047,ets1_k562_seq191
independent,0.6278325123152709,6871.242643392851,7133.22916666667,ets1_k562_seq193
cooperative,0.0002463054187192118,2075.8537621945366,3522.86363636364,ets1_k562_seq194
cooperative,0.0002463054187192118,6174.502854210448,11874.647201946498,ets1_k562_seq198
cooperative,0.0002463054187192118,331.7770468812628,856.786885245902,ets1_k562_seq20
cooperative,0.0002463054187192118,321.58533371680096,460.304932735426,ets1_k562_seq200
fail_cutoff,1.0,113.25696201774448,111.296,ets1_k562_seq201
cooperative,0.0002463054187192118,1198.18720526931,1816.18798955614,ets1_k562_seq203
independent,0.27684729064039404,659.8562584157465,700.414634146341,ets1_k562_seq204
independent,0.06748768472906402,358.08835721377056,420.707317073171,ets1_k562_seq208_0
independent,0.723152709359606,2659.856262551709,2454.35362318841,ets1_k562_seq208_1
anticooperative,0.0002463054187192118,389.06792741218703,274.847826086957,ets1_k562_seq211
cooperative,0.0002463054187192118,340.5512655919398,549.326829268293,ets1_k562_seq213
fail_cutoff,1.0,167.2311808927843,168.094117647059,ets1_k562_seq223
